"Subject","Start Date","Start Time","End Date","End Time","All day event","Reminder on/off","Reminder Date","Reminder Time","Meeting Organizer","Required Attendees","Optional Attendees","Meeting Resources","Billing Information","Categories","Description","Location","Mileage","Priority","Private","Sensitivity","Show time as"
"Shalini_stats_mission","17/7/2018","9:00:00 AM","17/7/2018","11:00:00 AM","False","False","16/7/2018","3:00:00 PM",,,,,,,"
","3C3",,"Normal","False","Normal","2"
"Lunch","16/7/2018","12:30:00 PM","16/7/2018","1:30:00 PM","False","False","15/7/2018","6:30:00 PM",,,,,,,,"Mizzuna Cafe (The Hub, University of Canberra, Bruce Australian Capital Territory, Australia)",,"Normal","False","Normal","2"
"Finish timesheets and have signed","16/7/2018","11:45:00 AM","16/7/2018","12:30:00 PM","False","False","15/7/2018","5:45:00 PM",,,,,,,,"",,"Normal","False","Normal","2"
"PhD work","14/7/2018","3:30:00 PM","14/7/2018","6:00:00 PM","False","False","13/7/2018","9:30:00 PM",,,,,,,"
","",,"Normal","False","Normal","2"
"Stats planning","14/7/2018","2:00:00 PM","14/7/2018","3:00:00 PM","False","False","13/7/2018","8:00:00 PM",,,,,,,"
","",,"Normal","False","Normal","2"
"Finalise timesheets","14/7/2018","12:00:00 PM","14/7/2018","2:00:00 PM","False","False","13/7/2018","6:00:00 PM",,,,,,,"Hey guy,

I will contact you to check the finalised timesheet between july-september and sign docs.

Cheers,
Anthony
","",,"Normal","False","Normal","2"
"barrio coffee","14/7/2018","8:00:00 AM","14/7/2018","9:00:00 AM","False","False","13/7/2018","2:00:00 PM",,,,,,,"
","",,"Normal","False","Normal","2"
"Market","14/7/2018","6:30:00 AM","14/7/2018","7:30:00 AM","False","False","13/7/2018","12:30:00 PM",,,,,,,"
","",,"Normal","False","Normal","2"
"Skate","13/7/2018","7:30:00 PM","13/7/2018","9:00:00 PM","False","False","13/7/2018","1:30:00 AM",,,,,,,"
","UNi",,"Normal","False","Normal","2"
"FISHING the Lake","13/7/2018","5:00:00 PM","13/7/2018","7:30:00 PM","False","False","12/7/2018","11:00:00 PM",,,,,,,"
","UNI",,"Normal","False","Normal","2"
"Court","12/7/2018","2:00:00 PM","12/7/2018","5:00:00 PM","False","False","11/7/2018","8:00:00 PM",,,,,,,,"",,"Normal","False","Normal","2"
"Kyles bday","7/7/2018","5:00:00 PM","7/7/2018","6:00:00 PM","False","False","6/7/2018","11:00:00 PM",,,,,,,,"",,"Normal","False","Normal","2"
"Kyles bday","7/7/2018","5:00:00 PM","7/7/2018","6:00:00 PM","False","False","6/7/2018","11:00:00 PM",,,,,,,,"",,"Normal","False","Normal","2"
"Kyle's bday","7/7/2018","5:00:00 PM","7/7/2018","11:00:00 PM","False","False","6/7/2018","11:00:00 PM",,,,,,,,"",,"Normal","False","Normal","2"
"Kyle's bday","7/7/2018","5:00:00 PM","7/7/2018","11:00:00 PM","False","False","6/7/2018","11:00:00 PM",,,,,,,,"",,"Normal","False","Normal","2"
"Kyles bday","7/7/2018","5:00:00 PM","7/7/2018","6:00:00 PM","False","False","6/7/2018","11:00:00 PM",,,,,,,,"",,"Normal","False","Normal","2"
"Kyles bday","7/7/2018","5:00:00 PM","7/7/2018","6:00:00 PM","False","False","6/7/2018","11:00:00 PM",,,,,,,,"",,"Normal","False","Normal","2"
"Kyles bday","7/7/2018","5:00:00 PM","7/7/2018","6:00:00 PM","False","False","6/7/2018","11:00:00 PM",,,,,,,,"",,"Normal","False","Normal","2"
"Kyles bday","7/7/2018","5:00:00 PM","7/7/2018","6:00:00 PM","False","False","6/7/2018","11:00:00 PM",,,,,,,,"",,"Normal","False","Normal","2"
"Market with Cherie","7/7/2018","7:00:00 AM","7/7/2018","8:30:00 AM","False","False","6/7/2018","1:00:00 PM",,,,,,,"
","Market",,"Normal","False","Normal","2"
"Car DROPOFF","4/7/2018","8:30:00 AM","4/7/2018","9:00:00 AM","False","False","3/7/2018","2:30:00 PM",,,,,,,"
","",,"Normal","False","Normal","2"
"Murry codding","3/7/2018","7:15:00 PM","3/7/2018","8:15:00 PM","False","False","3/7/2018","1:15:00 AM",,,,,,,,"",,"Normal","False","Normal","2"
"Brumby connections","3/7/2018","5:00:00 PM","3/7/2018","6:00:00 PM","False","False","2/7/2018","11:00:00 PM",,,,,,,,"",,"Normal","False","Normal","2"
"Van pickup?","3/7/2018","4:00:00 PM","3/7/2018","5:00:00 PM","False","False","2/7/2018","10:00:00 PM",,,,,,,,"",,"Normal","False","Normal","2"
"Squash","3/7/2018","3:30:00 PM","3/7/2018","4:30:00 PM","False","False","2/7/2018","9:30:00 PM",,,,,,,"Hey guys,

Anyone keen for a game this avo?

Anthony","",,"Normal","False","Normal","2"
"Boys skype","3/7/2018","3:00:00 PM","3/7/2018","3:30:00 PM","False","False","2/7/2018","9:00:00 PM",,,,,,,,"",,"Normal","False","Normal","2"
"Wendy","23/6/2018","5:15:00 PM","23/6/2018","6:15:00 PM","False","False","22/6/2018","11:15:00 PM",,,,,,,,"",,"Normal","False","Normal","2"
"Skype","23/6/2018","3:15:00 PM","23/6/2018","4:15:00 PM","False","False","22/6/2018","9:15:00 PM",,,,,,,,"",,"Normal","False","Normal","2"
"Meeting Skype NZ ","22/6/2018","9:00:00 AM","22/6/2018","9:30:00 AM","False","False","21/6/2018","3:00:00 PM",,,,,,,,"",,"Normal","False","Normal","2"
,"21/6/2018","1:00:00 PM","21/6/2018","3:00:00 PM","False","False","20/6/2018","7:00:00 PM",,,,,,,"
","Belconnen Australian Capital Territory, Australia",,"Normal","False","Normal","2"
